[[41685.749749997], [46.7804617], [6.6614096], [497260], [21], [21], [-35]]
[[41685.999749893], [46.7804617], [6.6614094999999995], [497263], [-16], [-33], [-46]]
[[41686.249749787], [46.7804618], [6.6614094999999995], [497269], [9], [34], [-17]]
[[41686.499749682], [46.7804618], [6.6614094999999995], [497278], [-16], [17], [-16]]
[[41686.749749577], [46.7804617], [6.6614094999999995], [497288], [15], [-7], [-32]]
[[41686.999749473], [46.7804618], [6.6614096], [497276], [-5], [0], [-26]]
[[41687.249749367], [46.7804618], [6.6614096], [497269], [2], [-2], [25]]
[[41687.499749262], [46.7804618], [6.6614096], [497263], [-7], [-7], [24]]
[[41687.749749157], [46.7804618], [6.6614094999999995], [497266], [-4], [3], [18]]
[[41687.999749053], [46.7804618], [6.6614094999999995], [497268], [-3], [-3], [-6]]
[[41688.249748947], [46.7804618], [6.6614094999999995], [497274], [-5], [-1], [-13]]
[[41688.499748843], [46.7804617], [6.6614094999999995], [497273], [-2], [6], [-23]]
[[41688.749748738], [46.7804618], [6.6614094999999995], [497273], [-1], [-3], [1]]
[[41688.999748634], [46.7804618], [6.6614094999999995], [497258], [1], [10], [-3]]
[[41689.249748528], [46.7804618], [6.6614094999999995], [497255], [-1], [-14], [34]]
[[41689.499748423], [46.7804618], [6.6614094999999995], [497253], [2], [3], [18]]
[[41689.749748318], [46.7804618], [6.6614094999999995], [497258], [-6], [-7], [5]]
[[41689.999748214], [46.7804618], [6.6614094999999995], [497241], [6], [6], [-16]]
[[41690.249748108], [46.7804618], [6.6614094999999995], [497237], [-10], [1], [42]]
[[41690.499748003], [46.7804618], [6.6614096], [497238], [9], [-4], [20]]
[[41690.749747898], [46.7804619], [6.6614096], [497240], [-3], [2], [1]]
[[41690.999747795], [46.7804619], [6.6614096], [497237], [-2], [2], [-6]]
[[41691.249747689], [46.7804618], [6.6614096], [497238], [4], [-4], [9]]
[[41691.499747584], [46.7804618], [6.6614096], [497243], [-4], [3], [-8]]
[[41691.749747479], [46.7804618], [6.6614096], [497241], [4], [-6], [-14]]
[[41691.999747375], [46.7804618], [6.6614096], [497239], [-3], [-4], [4]]
[[41692.249747269], [46.7804618], [6.6614096], [497241], [4], [6], [5]]
[[41692.499747164], [46.7804618], [6.6614096], [497235], [1], [0], [-5]]
[[41692.749747059], [46.7804618], [6.6614097], [497240], [3], [0], [2]]
[[41692.999746955], [46.7804618], [6.6614097], [497239], [-5], [-6], [-13]]
[[41693.249746849], [46.7804618], [6.6614097], [497239], [4], [-1], [-1]]
[[41693.499746745], [46.7804618], [6.6614096], [497238], [4], [-6], [1]]
[[41693.999746536], [46.7804618], [6.6614096], [497236], [1], [-8], [-4]]
[[41694.24974643], [46.7804618], [6.6614096], [497233], [4], [-6], [8]]
[[41694.499746325], [46.7804618], [6.6614096], [497242], [1], [8], [9]]
[[41694.74974622], [46.7804618], [6.6614096], [497242], [-3], [4], [-30]]
[[41694.999746117], [46.7804618], [6.6614096], [497240], [-2], [-4], [-3]]
[[41695.249746011], [46.7804618], [6.6614096], [497241], [-7], [-3], [9]]
